Sha,Message,IsBugFix,Message,Response
7894423f9bac837f4c5fb2c9a0f4284da38f2069,"Initial commit",False,"Initial commit with no changes","{""IsBugFix"": false, ""Reason"": ""Initial commit with no changes""}"
42dd1a3280da0bf901058cd7812faa1355eaae29,"Create README.md",False,"Creating a README file is not fixing a bug","{""IsBugFix"": false, ""Reason"": ""Creating a README file is not fixing a bug""}"
25139110fc53537334c2f2a745246b4fcf8203fb,"Updated the readme",False,"Update to documentation does not fix bugs","{""IsBugFix"": false, ""Reason"": ""Update to documentation does not fix bugs""}"
3a88efed0961f689e692eb3d52b3d9d3ddca903b,"Update README.md",False,"Changing a documentation file is not considered fixing a bug.","{""IsBugFix"": false, ""Reason"": ""Changing a documentation file is not considered fixing a bug.""}"
0278d89a6150858193cee8e6d1ac0ce159ac4ad0,"Update README.md",False,"Updating documentation does not correspond with fixing a bug","{""IsBugFix"": false, ""Reason"": ""Updating documentation does not correspond with fixing a bug""}"
fcb49163e602da9235c05e0d6cdf7cac27b741f4,"Update README.md",False,"Updating documentation does not fix a bug","{""IsBugFix"": false, ""Reason"": ""Updating documentation does not fix a bug""}"
d6edeab59d2bc88962d778c95f918b8a60d29e08,"Added images to the readme",False,"The addition of images to a readme does not fix bugs","{""IsBugFix"": false, ""Reason"": ""The addition of images to a readme does not fix bugs""}"
192b2c0af061aab62d27ec1339d4eb73be47fb39,"update try.net image",False,"Updating image is a change or improvement rather than fixing a bug","{""IsBugFix"": false, ""Reason"": ""Updating image is a change or improvement rather than fixing a bug""}"
3b768f91d4def0215892e4b138d4bfb36cadea04,"Update README.md",False,"Update of documentation does not fix a bug","{""IsBugFix"": false, ""Reason"": ""Update of documentation does not fix a bug""}"
879de9e97785445f60cb900ae51793e3254fe3d3,"Update README.md",False,"The commit is a change in documentation, not fixing functional bugs.","{""IsBugFix"": false, ""Reason"": ""The commit is a change in documentation, not fixing functional bugs.""}"
02af783c0ea17e9f18cf2352a01514317b6da249,"Update README.md",False,"Changed documentation does not fix a bug","{""IsBugFix"": false, ""Reason"": ""Changed documentation does not fix a bug""}"
