Sha,Message,IsBugFix,Message,Response
f0e639af5ffdc839aae8e65d19b5a9a1f0db634a,"Initial commit",False,"Initial commit with no modifications","{""IsBugFix"": false, ""Reason"": ""Initial commit with no modifications""}"
76cb2cdf5cc8b6c88ca44b8969153836e589df04,"Get a working build (#1)",True,"Aim to get a 'working build' usually indicates fixing bugs or issues that prevented previous builds from being functioning","{""IsBugFix"": true, ""Reason"": ""Aim to get a 'working build' usually indicates fixing bugs or issues that prevented previous builds from being functioning""}"
972f6232de173b5e294a34a847682e9b1e67d3af,"Fixed the syntax of cited example. (#2)",True,"Fixed syntax error related to cited example","{""IsBugFix"": true, ""Reason"": ""Fixed syntax error related to cited example""}"
cde0d7d18ec9e93bde1d3a53c35f87430ac43fee,"Add ML.NET Roadmap (#30)",False,"Documenting feature roadmap is not considered a bugfix","{""IsBugFix"": false, ""Reason"": ""Documenting feature roadmap is not considered a bugfix""}"
da023b18464268a9d4431de1f978a685fa397a8b,"Merge pull request #35 from shauheen/update_contribution",False,"Pull request for merging does not necessarily indicate a bugfix; context of the changes is needed","{""IsBugFix"": false, ""Reason"": ""Pull request for merging does not necessarily indicate a bugfix; context of the changes is needed""}"
0ba22f120acbe629f16c4a09f1f36ecf6faa2b63,"Add release notes for ML.NET 0.1 (#37)",False,"Related to release notes","{""IsBugFix"": false, ""Reason"": ""Related to release notes""}"
c023727b76970ab913ec1ce38276508835c17bcf,"Update README.md (#40)",False,"Updating a documentation file (README.md) does not fix a bug","{""IsBugFix"": false, ""Reason"": ""Updating a documentation file (README.md) does not fix a bug""}"
2038108473015a58cee8425719f75751282cb7b0,"Adjust gitter link to go to new mlnet room (#42)",False,"The change does not represent a bugfix but rather an update to documentation/association","{""IsBugFix"": false, ""Reason"": ""The change does not represent a bugfix but rather an update to documentation/association""}"
02e5cd5a148bdd85b655eb4e20f822485a8ba2a3,"Add push trigger to netci.groovy (#46)",False,"Adding a trigger is not addressing an existing bug","{""IsBugFix"": false, ""Reason"": ""Adding a trigger is not addressing an existing bug""}"
21ad5ff628d05b62b6fca05ecb3f75f5b556b255,"Update dataset (#45)",True,"The commit indicates an update to a dataset which implies improving or fixing data-related issues.","{""IsBugFix"": true, ""Reason"": ""The commit indicates an update to a dataset which implies improving or fixing data-related issues.""}"
2603a9652b52f0fdc1157192decb9e39c18b6155,"Add Build Status to README (#48)",False,"Change to documentation does not fix a bug","{""IsBugFix"": false, ""Reason"": ""Change to documentation does not fix a bug""}"
5748195f8b91e2d2e76a589fbfdb8949313a3059,"Merge pull request #54 from dotnet/data-license",False,"This is a merge pull request rather than a direct bugfix commit","{""IsBugFix"": false, ""Reason"": ""This is a merge pull request rather than a direct bugfix commit""}"
af95f66fdef86c71fc9a42e142f6a01f518c649c,"[Src] Fixed typo: files in Microsoft.ML namespace (#59)",True,"Fixed typo in namespace","{""IsBugFix"": true, ""Reason"": ""Fixed typo in namespace""}"
d9d1216221701ee04951353e5180954056474cbf,"[Docs] Fixed typo: ROADMAP.md (#55)",True,"Fixed typo","{""IsBugFix"": true, ""Reason"": ""Fixed typo""}"
ae662104793a4ca6bc3863a0bee00591526b740b,"Pass correct field name to exception and message (#65)",True,"Correcting the naming of a field in an exception is typically considered a bugfix.","{""IsBugFix"": true, ""Reason"": ""Correcting the naming of a field in an exception is typically considered a bugfix.""}"
500d7034025c08d41feb6a52bae6410a695b7b18,"Refactored scenario tests (issue #32) (#52)",True,"Refactoring scenario tests implies a direct response to bug #32","{""IsBugFix"": true, ""Reason"": ""Refactoring scenario tests implies a direct response to bug #32""}"
e9942bb360c05272ee923ebfb76c09a3cccb2528,"Fix link to example file in readme.md (#71)",True,"Link correction is a bugfix action","{""IsBugFix"": true, ""Reason"": ""Link correction is a bugfix action""}"
b26740707b077687e0406444ed0a709c766f5634,"Correcting docs for building in Linux (#58)",True,"The commit message indicates a fix for documentation in the context of building on Linux.","{    ""IsBugFix"": true,    ""Reason"": ""The commit message indicates a fix for documentation in the context of building on Linux."" }"
142f3d761d3381d56527fe5ec82e444689c9ef76,"Minor comment fixes. (#84)",True,"The message references minor fixes","{""IsBugFix"": true, ""Reason"": ""The message references minor fixes""}"
051b62c29b13c1f8b80c8ddd6df8537f620732b5,"Expand on NuGet installation (#90)",True,"NuGet installation can be considered a bugfix if the previous state did not include it and its absence was causing issues in managing dependencies or building packages.","{""IsBugFix"": true, ""Reason"": ""NuGet installation can be considered a bugfix if the previous state did not include it and its absence was causing issues in managing dependencies or building packages.""}"
